City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el calafate,-50.3408,-72.2768,5.33,77,3,2.87,AR,1696295705
1,grand falls-windsor,48.9332,-55.6649,10.28,74,23,1.91,CA,1696295705
2,bubaque,11.2833,-15.8333,28.05,81,99,2.78,GW,1696295705
3,baruun-urt,46.6806,113.2792,7.05,45,35,4.99,MN,1696295705
4,fortuna,40.5982,-124.1573,16.19,79,0,5.66,US,1696295559
5,west island,-12.1568,96.8225,24.99,69,100,6.69,CC,1696295570
6,kone,-21.0595,164.8658,25.99,53,94,4.25,NC,1696295579
7,waitangi,-43.9535,-176.5597,8.23,93,100,7.15,NZ,1696295557
8,constantia,44.1833,28.65,13.38,54,0,4.93,RO,1696295598
9,dudinka,69.4058,86.1778,0.9,96,100,10.28,RU,1696295563
10,vorgashor,67.5833,63.95,0.99,82,100,7.97,RU,1696295571
11,iqaluit,63.7506,-68.5145,2.85,86,100,5.14,CA,1696295461
12,levuka,50.1834,-105.4011,12.9,53,100,1.49,CA,1696295706
13,walvis bay,-22.9575,14.5053,12.83,76,6,3.24,NA,1696295572
14,ilulissat,69.2167,-51.1,-1.99,37,0,7.72,GL,1696295564
15,ribeira grande,38.5167,-28.7,17.65,79,0,4.47,PT,1696295566
16,isafjordur,66.0755,-23.124,1.29,94,100,7.41,IS,1696295572
17,adamstown,-25.066,-130.1015,20.41,73,4,9.74,PN,1696295561
18,lihue,21.9789,-159.3672,28.58,72,0,4.63,US,1696295556
19,port-aux-francais,-49.35,70.2167,2.23,74,82,15.38,TF,1696295559
20,atafu village,-8.5421,-172.5159,28.73,74,13,4.18,TK,1696295572
21,edinburgh of the seven seas,-37.0676,-12.3116,10.03,58,75,10.0,SH,1696295559
22,grytviken,-54.2811,-36.5092,1.52,65,99,4.87,GS,1696295558
23,hollins,37.3413,-79.9431,21.08,87,27,0.4,US,1696295706
24,puerto natales,-51.7236,-72.4875,2.83,96,100,1.78,CL,1696295566
25,susuman,62.7833,148.1667,-1.68,82,6,1.34,RU,1696295564
26,codrington,-38.2667,141.9667,16.84,55,93,6.32,AU,1696295583
27,severo-yeniseyskiy,60.3725,93.0408,0.32,98,100,2.68,RU,1696295706
28,bilibino,68.0546,166.4372,-8.36,92,99,0.88,RU,1696295559
29,port mathurin,-19.6833,63.4167,23.53,80,15,7.07,MU,1696295561
30,port elizabeth,-33.918,25.5701,14.16,88,0,2.57,ZA,1696295559
31,cabo san lucas,22.8909,-109.9124,31.61,72,20,7.72,MX,1696295473
32,karratha,-20.7377,116.8463,28.86,26,79,7.25,AU,1696295572
33,amboasary,-25.0333,46.3833,18.04,66,62,5.2,MG,1696295706
34,bredasdorp,-34.5322,20.0403,12.46,85,0,2.1,ZA,1696295564
35,mount pearl,47.5166,-52.7813,9.48,95,75,1.54,CA,1696295579
36,talnakh,69.4865,88.3972,0.67,96,100,7.51,RU,1696295586
37,trinity beach,-16.7888,145.6968,30.01,63,100,4.63,AU,1696295707
38,avarua,-21.2078,-159.775,23.03,64,75,4.12,CK,1696295559
39,jamestown,42.097,-79.2353,18.8,87,0,1.54,US,1696295537
40,jijiga,9.35,42.8,18.29,64,81,1.43,ET,1696295707
41,neya,58.2972,43.8681,8.59,93,100,1.85,RU,1696295707
42,khandyga,62.6667,135.6,6.64,82,100,0.78,RU,1696295569
43,cadale,2.7603,46.3222,26.07,87,1,4.93,SO,1696295611
44,ibresi,55.2961,47.0394,11.31,87,100,1.08,RU,1696295707
45,nemuro,43.3236,145.575,15.83,67,6,10.62,JP,1696295600
46,hadibu,12.65,54.0333,26.46,84,23,2.26,YE,1696295600
47,kresttsy,58.2452,32.5165,8.23,87,98,2.49,RU,1696295707
48,gorom-gorom,14.4439,-0.2361,32.74,36,100,4.19,BF,1696295707
49,hirara,24.8,125.2833,30.15,84,75,6.17,JP,1696295578
50,maragogi,-9.0122,-35.2225,23.76,80,14,2.92,BR,1696295707
51,tiksi,71.6872,128.8694,-2.32,80,95,7.75,RU,1696295561
52,puerto ayora,-0.7393,-90.3518,23.08,97,73,3.13,EC,1696295561
53,pokachi,61.7198,75.3683,8.42,89,81,6.49,RU,1696295707
54,nova vicosa,-17.8919,-39.3719,24.53,90,100,5.36,BR,1696295707
55,kuandian,40.7286,124.7847,17.16,67,100,2.35,CN,1696295708
56,blackmans bay,-43.0167,147.3167,20.07,65,44,4.74,AU,1696295561
57,kilindoni,-7.9139,39.6668,25.07,80,91,6.3,TZ,1696295708
58,longyearbyen,78.2186,15.6401,-3.09,68,75,6.69,SJ,1696295570
59,dunedin,-45.8742,170.5036,12.11,53,5,2.68,NZ,1696295558
60,alesund,62.4723,6.1549,13.2,83,100,5.66,NO,1696295556
61,anadyr,64.75,177.4833,4.28,64,0,7.0,RU,1696295576
62,bethel,41.3712,-73.414,17.31,85,0,0.0,US,1696295345
63,taltal,-25.4,-70.4833,16.2,78,8,2.4,CL,1696295593
64,aykhal,66.0,111.5,-7.74,91,95,3.13,RU,1696295451
65,mar del plata,-38.0023,-57.5575,10.61,98,100,2.57,AR,1696295708
66,ta`u,-14.2336,-169.5144,26.76,81,44,9.56,AS,1696295580
67,san patricio,28.017,-97.5169,29.35,81,0,6.08,US,1696295608
68,albany,42.6001,-73.9662,16.07,86,24,0.89,US,1696295479
69,luau,-10.7073,22.2247,22.35,47,93,1.25,AO,1696295708
70,rongelap,11.1635,166.8941,29.16,77,72,7.58,MH,1696295566
71,port alfred,-33.5906,26.891,20.23,54,0,2.78,ZA,1696295584
72,college,64.8569,-147.8028,5.25,68,75,5.66,US,1696295422
73,kerch,45.3583,36.4758,17.53,61,0,8.94,UA,1696295708
74,georgetown,5.4112,100.3354,27.75,83,20,1.03,MY,1696295558
75,keflavik,64.0049,-22.5624,6.24,75,75,6.69,IS,1696295563
76,ushuaia,-54.8,-68.3,3.04,98,100,2.4,AR,1696295561
77,brokopondo,4.75,-55.1667,28.2,72,13,4.58,SR,1696295578
78,esquel,-42.9,-71.3167,4.74,88,100,2.57,AR,1696295584
79,kattivakkam,13.2167,80.3167,28.05,84,88,5.23,IN,1696295708
80,luderitz,-26.6481,15.1594,16.63,71,0,3.26,NA,1696295575
81,al mindak,20.1588,41.2834,20.78,19,1,3.46,SA,1696295708
82,colonia,50.9333,6.95,21.9,77,0,2.06,DE,1696295599
83,tianfu,37.1936,122.0511,19.48,48,99,2.27,CN,1696295708
84,malpica,43.3228,-8.8105,19.63,72,100,2.33,ES,1696295709
85,praia da vitoria,38.7333,-27.0667,19.14,77,20,5.6,PT,1696295604
86,eilat,29.5581,34.9482,25.91,61,100,8.23,IL,1696295709
87,neyriz,29.1988,54.3278,19.79,22,0,0.82,IR,1696295709
88,mosjoen,65.836,13.1908,7.29,100,100,1.03,NO,1696295575
89,holualoa,19.6228,-155.9522,25.99,78,40,3.6,US,1696295388
90,hamilton,39.1834,-84.5333,23.55,73,0,0.89,US,1696295709
91,sinabang,2.4803,96.3801,26.77,77,97,4.91,ID,1696295573
